stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding
51046,,"Hampshire Ave S & 110th St W","Far side N",  44.803523, -93.368771,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51046,0,1
51047,,"White Bear Ave & Birch St","Near side N",  45.060997, -93.015315,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51047,0,1
51048,,"White Bear Ave & Birch St","Near side S",  45.061211, -93.015462,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51048,0,1
51049,,"Maple St & Mahtomedi Ave (Hwy 244)","Near side W",  45.072055, -92.956109,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51049,0,1
51050,,"Maple St & Mahtomedi Ave (Hwy 244)","Far side E",  45.071953, -92.955970,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51050,0,1
51053,,"Cleveland Ave & Portland Ave","Near side N",  44.942839, -93.187299,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51053,0,1
51065,,"Wells Fargo & Parkview Dr","Far side W",  45.121844, -93.176010,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51065,0,1
51066,,"113th Ave NE & University Ave NE","Far side E",  45.175039, -93.265889,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51066,0,1
5107,,"Skillman Ave & Bradley St","Near side W",  45.002813, -93.078715,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5107,0,1
51071,,"Bielenberg Dr - Node & Hudson Rd","Far side S",  44.947247, -92.953809,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51071,0,2
51072,,"Bielenberg Dr - Node & Hudson Rd","Near side N",  44.947132, -92.953786,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51072,0,2
51076,,"Noble Pkwy & Kyle Ave N","Far side S",  45.150443, -93.335902,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51076,0,1
51077,,"7th St NE & Central Ave NE","Far side N",  44.991382, -93.251544,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51077,0,1
5108,,"Skillman Ave & Desoto St","Near side W",  45.002737, -93.081251,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5108,0,1
51080,,"Naples St - Node & Flowerfield Rd","Near side N",  45.131500, -93.184203,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51080,0,1
51081,,"Naples St - Node & Flowerfield Rd","Far side S",  45.131533, -93.184350,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51081,0,1
51083,,"Brunswick Ave & 37th St W","Near side S",  44.937005, -93.357687,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51083,0,1
51089,,"Arcade St & Minnehaha Ave","Near side N",  44.962976, -93.065825,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51089,0,1
51090,,"Hudson Rd & Tamarack Village","Far side N",  44.945011, -92.937213,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51090,0,1
51091,,"Hudson Rd & #8230 - Suite 100","Far side W",  44.947076, -92.939444,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51091,0,1
51092,,"Hudson Rd & #7876","Near side W",  44.947456, -92.947546,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51092,0,1
51093,,"Hudson Rd & Landau Dr","Across from W",  44.947441, -92.950896,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51093,0,1
51095,,"Bielenberg Dr & #576","Far side S",  44.941452, -92.954397,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51095,0,1
51096,,"Bielenberg Dr & Tamarack Rd","Far side S",  44.936404, -92.954386,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51096,0,1
51097,,"Bielenberg Dr & Tamarack Rd","Near side N",  44.936502, -92.954053,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51097,0,1
51098,,"Bielenberg Dr & Tamarack Hills #2","Near side N",  44.941532, -92.954092,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51098,0,1
511,,"Lincoln Dr & Langford Dr","Far side N",  44.895643, -93.400477,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=511,0,1
5110,,"Skillman Ave & Arkwright St","Across from W",  45.002722, -93.083773,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5110,0,1
51100,,"Hudson Rd & Landau Dr","Near side E",  44.947334, -92.951151,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51100,0,1
51101,,"Hudson Rd & #7805","Near side E",  44.947351, -92.947546,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51101,0,1
51102,,"Hudson Rd & #8230 - Suite 200","Across from E",  44.946911, -92.939502,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51102,0,1
51103,,"Hudson Rd & Tamarack Village","Near side S",  44.944836, -92.937507,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51103,0,1
51104,,"Reserve Transit Station & Cheshire Lane","Near side N",  45.049379, -93.456615,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51104,0,1
51108,,"Chatsworth St & Como Blvd W","Near side N",  44.976080, -93.141808,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51108,0,1
51109,,"Van Slyke Ave & Churchill St","Near side W",  44.977075, -93.144594,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51109,0,1
51110,,"Knox Ave S & American Blvd","Far side N",  44.859187, -93.301749,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51110,0,1
51113,,"Sunray Transit Center & Gate A","Near side N",  44.953119, -93.012524,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51113,0,1
51114,,"Sunray Transit Center & Gate B","Near side N",  44.953303, -93.012524,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51114,0,1
51116,,"Sunray Transit Center & Gate D","Near side S",  44.953177, -93.012408,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51116,0,1
51119,,"Smetana Rd & Westbrooke Way","Across from E",  44.906114, -93.408036,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51119,0,1
5112,,"McMenemy St & Roselawn Ave","Near side S",  44.999131, -93.086463,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5112,0,1
51120,,"Smetana Dr & Opportunity Court","Far side W",  44.902589, -93.404691,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51120,0,1
51124,,"West River Rd & Noble Ave N","Across from N",  45.153425, -93.339941,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51124,0,1
51125,,"Cleveland Ave & Rosegate Ave","Far side S",  45.019627, -93.187329,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51125,0,1
51126,,"Cleveland Ave & #2600","Near side N",  45.019600, -93.187182,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51126,0,1
51128,,"Larpenteur Ave & Adolphus St","Across from E",  44.991807, -93.091320,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51128,0,1
51129,,"Knox Landing & #8100 Entrance","Near side S",  44.855843, -93.302618,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51129,0,1
51131,,"Hudson Rd & Ruth St","Near side W",  44.952611, -93.015020,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51131,0,1
51132,,"Ruth St & Wilson Ave","Near side N",  44.953986, -93.015066,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51132,0,1
51134,,"Westminster St & Hawthorne Ave","Near side S",  44.978429, -93.086293,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51134,0,1
5114,,"McMenemy St & #1860","Near side S",  44.996835, -93.086437,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5114,0,1
51143,,"Shingle Creek Pkwy & Bass Lake Rd","Near side S",  45.060081, -93.313864,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51143,0,1
51144,,"Olive St W - Node & Greeley St S","Near side E",  45.052974, -92.819274,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51144,0,1
51145,,"4th St S & Walnut St E","Near side S",  45.051074, -92.808237,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51145,0,1
51147,,"4th St S & Churchill St E","Near side S",  45.048233, -92.807635,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51147,0,1
5115,,"McMenemy St & #1770","Across from S",  44.995073, -93.086415,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=5115,0,1
51150,,"4th St S & Orleans St (65th St)","Near side S",  45.042974, -92.807652,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51150,0,1
51152,,"Osgood Ave N & 62nd St N","Near side S",  45.039294, -92.807653,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51152,0,1
51153,,"Osgood Ave N & 61th St N","Mid block S",  45.036807, -92.807610,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51153,0,1
51155,,"Curve Crest Blvd & Greeley St / Industrial Blvd","Mid block W",  45.040989, -92.822567,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=51155,0,1
